成语,常用度分数
赤贫如洗,85.4
大错特错,85.4
冠履倒易,85.4
裹粮坐甲,85.4
回味无穷,85.4
建功立业,85.4
遮人耳目,85.4
白水鉴心,85.3
餐腥啄腐,85.3
出师不利,85.3
代人捉刀,85.3
放虎归山,85.3
伏虎降龙,85.3
挥洒自如,85.3
酒肉朋友,85.3
绝顶聪明,85.3
理屈词穷,85.3
食毛践土,85.3
随风转舵,85.3
痰迷心窍,85.3
五行并下,85.3
掀风鼓浪,85.3
一手遮天,85.3
朝令暮改,85.3
俾昼作夜,85.2
瓜字初分,85.2
龟文鸟迹,85.2
稷蜂社鼠,85.2
龙肝凤髓,85.2
埋头苦干,85.2
如兄如弟,85.2
贪夫徇财,85.2
万里鹏翼,85.2
雾里看花,85.2
向若而叹,85.2
置诸高阁,85.2
哀痛欲绝,85.1
出尔反尔,85.1
千变万状,85.1
穷则思变,85.1
澄江如练,85.0
尺蠖求伸,85.0
纠缠不清,85.0
莫予毒也,85.0
鲇鱼上竹,85.0
气吞山河,85.0
十年磨剑,85.0
守株待兔,85.0
提纲挈领,85.0
惜墨如金,85.0
遐迩闻名,85.0
暴跳如雷,84.9
兵贵神速,84.9
丹心碧血,84.9
斗南一人,84.9
非同小可,84.9
风情月债,84.9
故土难离,84.9
鸡犬升天,84.9
既往不咎,84.9
局骗拐带,84.9
速战速决,84.9
填坑满谷,84.9
娓娓不倦,84.9
无庸讳言,84.9
先我着鞭,84.9
言多必失,84.9
一丝半粟,84.9
鱼跃鸢飞,84.9
纯正无邪,84.8
贫而乐道,84.8
围城打援,84.8
止于至善,84.8
奔走相告,84.7
不以为意,84.7
断齑画粥,84.7
对答如流,84.7
两部鼓吹,84.7
徒劳无功,84.7
一手包办,84.7
知人论世,84.7
背山起楼,84.6
不羁之民,84.6
怠惰因循,84.6
老于世故,84.6
明见万里,84.6
心中有数,84.6
养痈遗患,84.6
一语道破,84.6
